City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,mandan,46.8267,-100.8896,3.23,53,20,3.6,US,1708484785
344,asmara,15.3333,38.9333,11.9,71,25,1.6,ER,1708485060
345,happy valley-goose bay,53.3168,-60.3315,-19.26,73,100,6.53,CA,1708485062
346,olyokminsk,60.3736,120.4264,-15.5,85,100,6.61,RU,1708485063
347,natal,-5.795,-35.2094,25.36,88,75,1.54,BR,1708485064
348,ad-damazin,11.7891,34.3592,26.52,27,100,2.82,SD,1708485065
349,mtambile,-5.3833,39.7,27.42,78,55,4.12,TZ,1708485065
350,ad dilam,23.9915,47.1627,12.23,55,40,2.22,SA,1708485066
351,lappeenranta,61.0587,28.1887,-2.97,86,100,1.54,FI,1708485066
352,kulhudhuffushi,6.6221,73.07,28.07,77,29,3.76,MV,1708485067
353,korkuteli,37.065,30.1957,5.78,89,64,0.4,TR,1708485067
354,ancud,-41.8697,-73.8203,14.58,96,83,3.35,CL,1708485068
355,coahuayana de hidalgo,18.7,-103.6583,22.33,83,0,1.34,MX,1708485069
356,ajdabiya,30.7554,20.2263,12.44,62,100,3.41,LY,1708485069
357,siem reap,13.5,104.0,32.82,49,41,2.02,KH,1708485070
358,nizhnesortymskiy,62.4397,71.7603,-17.01,90,97,10.45,RU,1708485071
359,mallow,52.1333,-8.6333,10.84,94,100,8.26,IE,1708485072
360,kazerun,29.6195,51.6541,8.31,52,13,1.33,IR,1708485072
361,santa isabel,-23.3156,-46.2214,20.61,99,94,1.19,BR,1708485073
